Typical c1,Typical c2,Typical c3,Typical c4,Atypical c1,Atypical c2
-2.448091603,-2.990076336,-2.814503817,-2.97480916,-9.997709924,-4.56259542
-3.730534351,-6.616030534,-3.119847328,-4.081679389,-2.409923664,-4.753435115
-4.264885496,-5.219083969,-4.448091603,-4.951908397,-4.158015267,-1.196183206
-4.783969466,-3.730534351,-3.76870229,-3.417557252,-1.745801527,-13.85267176
-2.654198473,-3.554961832,-1.387022901,-17.87557252,-3.539694656,-200.8374046
14.12442748,-4.28778626,-9.241984733,7.009923664,-48.47099237,-200.8374046
142.5061069,-43.5778626,9.780916031,-0.203816794,-246.5549618,-200.6618321
-25.9519084,24.91068702,14.02519084,-23.40229008,-189.9824427,-200.8374046
1.95648855,-19.70763359,-4.188549618,1.399236641,123.9412214,152.2312977
18.83435115,16.6129771,-15.42519084,4.383969466,-250.8374046,-200.8374046
4.246564885,13.34580153,-26.46335878,-22.3870229,249.429771,43.80381679
-3.883206107,-8.593129771,-48.44045802,-8.898473282,-227.9977099,159.1625954
-4.593129771,-62.0129771,-13.29541985,3.964122137,31.91068702,15.17022901
-3.669465649,-4.409923664,1.338167939,21.07862595,-250.8374046,-140.2038168
-3.806870229,-3.49389313,-16.18091603,13.58244275,100.5824427,-2.944274809
-4.04351145,-1.49389313,3.681679389,-7.486259542,82.56717557,-2.715267176
-4.051145038,-4.738167939,5.216030534,-3.379389313,80.63587786,16.32290076
-2.97480916,-4.012977099,-5.325954198,-5.83740458,-10.83740458,-12.70763359
-4.249618321,-3.799236641,-4.646564885,-3.967175573,-186.4557252,-65.22671756
-6.028244275,-3.554961832,-4.776335878,-4.860305344,2.582442748,-214.7610687
-13.87557252,-4.684732824,-2.829770992,-3.325954198,-143.4099237,174.8877863
-3.394656489,,-4.638931298,-6.066412214,4.635877863,174.910687
12.51374046,,-4.608396947,-3.516793893,-3.295419847,35.49083969
-3.066412214,,-1.707633588,-5.005343511,-4.570229008,39.06335878
-1.730534351,,-4.241984733,-3.539694656,-3.783969466,-2.967175573
-2.272519084,,-5.012977099,-4.486259542,,-0.692366412
-3.249618321,,,18.57480916,,-3.35648855
-5.63129771,,,-4.020610687,,-1.516793893
-2.669465649,,,,,
